,background_max_distance,kernel_max_distance,textures_max_distance,textures_min_distance,barycenter_distance,group
3312,21.2602916254693,19.4164878389476,40.36087214122113,1.0,18.83378473322539,2
3313,19.209372712298546,16.401219466856727,36.069377593742864,1.0,19.5245730628155,2
3314,17.88854381999832,18.384776310850235,34.713109915419565,1.0,15.886726333231984,2
3315,16.1245154965971,17.0,32.55764119219941,1.0,14.71649259410442,2
3316,17.4928556845359,18.35755975068582,34.713109915419565,1.0,16.043033571611286,2
3317,18.601075237738275,17.4928556845359,35.38361202590826,1.0,17.43827708436711,2
3318,16.76305461424021,16.55294535724685,31.144823004794876,1.0,14.210451701637016,2
3319,15.811388300841896,15.652475842498529,30.479501308256346,1.0,14.535214866276691,2
3320,18.867962264113206,20.0,38.2099463490856,1.0,18.655925710894312,2
3322,16.278820596099706,17.4928556845359,32.55764119219941,1.0,14.928991594423168,2
3323,20.808652046684813,18.867962264113206,38.897300677553446,1.0,18.25076739359958,2
3324,17.08800749063506,17.4928556845359,32.55764119219941,1.0,15.111484178831532,2
3325,18.35755975068582,17.08800749063506,33.97057550292606,1.0,15.079838183786386,2
3326,17.88854381999832,17.0,33.24154027718932,1.0,15.054115250021102,2
3327,16.1245154965971,17.0,32.01562118716424,1.0,15.555710192088055,2
3328,19.235384061671343,20.0,37.53664875824692,1.0,16.9644329611129,2
3329,18.027756377319943,18.384776310850235,32.802438933713454,1.0,14.730201176790018,2
3330,16.64331697709324,16.76305461424021,31.144823004794876,1.0,13.508145319940049,2
3331,16.76305461424021,17.08800749063506,31.240998703626616,1.0,13.696720512548469,2
3333,14.317821063276352,13.601470508735444,25.0,1.0,11.469612531938672,2
3334,17.88854381999832,17.08800749063506,33.97057550292606,1.0,15.666537079424556,2
3335,16.15549442140351,17.72004514666935,31.89043743820395,1.0,14.527807183779576,2
3336,17.08800749063506,16.15549442140351,31.240998703626616,1.0,14.152840828157258,2
3337,19.4164878389476,20.808652046684813,38.948684188300895,1.0,19.09041076054456,2
3338,16.64331697709324,17.804493814764857,33.97057550292606,1.0,15.779914177404326,2
3339,17.46424919657298,16.15549442140351,31.89043743820395,1.0,13.73931355457029,2
3340,18.601075237738275,17.4928556845359,35.38361202590826,1.0,16.83945400670287,2
3341,17.4928556845359,16.15549442140351,33.24154027718932,1.0,15.154876780708378,2
3342,17.46424919657298,17.46424919657298,33.421549934136806,1.0,15.162755337336888,2
3343,18.601075237738275,18.867962264113206,36.7967389859482,1.0,17.85998680974673,2
3344,13.92838827718412,14.0,25.495097567963924,1.0,11.619308044937233,2
3345,17.46424919657298,17.46424919657298,32.55764119219941,1.0,14.057419145618804,2
3346,19.72308292331602,20.808652046684813,39.59797974644666,1.0,17.579315622878138,2
3347,14.866068747318506,15.811388300841896,27.586228448267445,1.0,12.227286946828198,2
3348,15.524174696260024,18.027756377319943,31.144823004794876,1.0,13.908405375806652,2
3349,21.633307652783937,19.4164878389476,41.23105625617661,1.0,21.003816691986263,2
3350,18.601075237738275,16.15549442140351,33.97057550292606,1.0,16.16408473968262,2
3351,14.317821063276352,16.55294535724685,29.0,1.0,13.064057530083607,2
3352,20.248456731316587,20.0,39.698866482558415,1.0,20.82766193093484,2
3353,19.72308292331602,19.72308292331602,37.53664875824692,1.0,16.739037150758673,2
3354,21.93171219946131,20.615528128088304,43.139309220245984,1.0,22.084511446987985,2
3356,16.401219466856727,16.64331697709324,32.526911934581186,1.0,15.05314196208972,2
3357,15.652475842498529,14.317821063276352,28.319604517012596,1.0,12.845787773304655,2
3358,16.1245154965971,16.278820596099706,28.600699292150185,1.0,12.882102624867434,2
3359,18.97366596101028,18.35755975068582,35.4682957019364,1.0,16.58857433403389,2
3360,18.601075237738275,18.384776310850235,34.828149534536,1.0,15.813842983948703,2
3361,19.72308292331602,21.095023109728988,40.36087214122113,1.0,18.78364271625521,2
3362,18.601075237738275,18.027756377319943,36.12478373637688,1.0,18.827821351668355,2
3363,16.55294535724685,15.132745950421556,29.068883707497267,1.0,13.22244810965078,2
3364,15.811388300841896,17.4928556845359,31.89043743820395,1.0,15.312282811681692,2
3365,20.0,18.027756377319943,37.48332962798263,1.0,16.96763281860989,2
3367,14.866068747318506,14.560219778561036,26.90724809414742,1.0,11.80901542652761,2
3369,18.027756377319943,19.209372712298546,34.828149534536,1.0,15.762937706318402,2
3370,19.72308292331602,21.633307652783937,40.36087214122113,1.0,18.73966235235664,2
3371,18.027756377319943,18.601075237738275,36.12478373637688,1.0,18.827821351668355,2
3372,16.15549442140351,15.297058540778355,29.068883707497267,1.0,13.209491593641992,2
3373,16.64331697709324,16.64331697709324,31.89043743820395,1.0,15.21998224285224,2
3375,17.46424919657298,16.76305461424021,31.144823004794876,1.0,14.131404695044044,2
3376,17.46424919657298,18.788294228055936,33.24154027718932,1.0,14.787302611349585,2
3377,15.652475842498529,17.46424919657298,31.240998703626616,1.0,13.901968200989488,2
3378,16.64331697709324,17.204650534085253,33.24154027718932,1.0,15.7881858944737,2
3379,18.027756377319943,18.027756377319943,34.655446902326915,1.0,15.897482956983511,2
3381,14.317821063276352,16.1245154965971,29.73213749463701,1.0,13.613832950870242,2
3382,15.811388300841896,17.46424919657298,31.144823004794876,1.0,12.94298207087857,2
3383,20.0,21.40093455903269,40.36087214122113,1.0,19.809067252872204,2
